774,Diana,Sammataro
147,Sophia,Amoruso
361,Sharon,Draper
426,Eugene,Rogan
112,Peter,Thiel
238,Corey,Lee
549,John,Grisham
18,Chiquis,Rivera
391,David,Zinczenko
377,Allen,Ginsberg
184,Anna,Dewdney
579,Mark,Danielewski
424,Yuval,Harari
500,Kazuo,Ishiguro
553,M.L.,Stedman
35,Viktor,Frankl
139,Alexander,Osterwalder
30,Michael,Bamberger
199,Ali,Maffucci
195,Thug,Kitchen
446,Charles,Krauthammer
627,Julia,Cook
240,Ina,Garten
626,Ross,PhD
320,Princeton,Review
507,Donna,Tartt
716,Mitchell,Moffit
128,Brendon,Burchard
762,Chris,Pellant
637,Stephen,Hawking
189,Tad,Hills
598,Foster,Cline
71,Abigail,Thomas
599,Sue,Johnson
256,Terry,M.D.
190,Shauna,Niequist
252,David,Kaplan
326,Deborah,Schecter
124,Gayle,McDowell
723,Ray,Long
485,Paula,Hawkins
686,Erin,Morgenstern
322,Tao,Le
523,Gabrielle,Zevin
552,Richard,Price
313,Erin,Gates
17,Amy,Poehler
368,Oscar,Wilde
319,Inc.,ACT
768,Tara,Guber
796,Brian,Murphy
460,John,Allen
110,Carol,Dweck
648,Lysa,TerKeurst
482,Barry,Reiss
227,Karen,Page
274,Ciarra,Hannah
7,Brent,Schlender
390,Susan,Cain
643,Bill,Gifford
374,Wesley,Hill
69,Mariel,Hemingway
667,R.,Palacio
105,Daniel,Kahneman
673,Gayle,Forman
289,Valentina,Harper
44,Ed,Catmull
501,Liane,Moriarty
584,Denise,Fields
259,Robb,Wolf
21,Rachel,Brathen
695,Mary,Monroe
570,Ann,Ross
350,Dr.,CSP
419,Natasha,Campbell-McBride
634,Carla,Emery
117,Kerry,Patterson
145,Greg,McKeown
558,Allen,Eskens
123,Jeff,Goins
36,George,Hodgman
72,Bryan,Stevenson
142,Richard,Bolles
178,Chip,Heath
277,Alejandro,Junger
216,Haylie,Pomroy
386,Heidi,Murkoff
801,J.,Rowling
786,Lauren,Fleshman
551,Daniel,Silva
63,Arlene,Alda
459,Marjane,Satrapi
578,Andrea,Camilleri
119,Graduate,(GMAC)
418,Debra,Raybern
478,Kenneth,Clarkson
580,Valorie,Schaefer
405,Melody,Beattie
436,Anne-Marie,O'Connor
778,Saulo,Ribeiro
715,Deborah,M.S.
372,William,Burroughs
88,Stephen,King
662,Kristen,M.A.
76,Amber,Portwood
619,Marshall,Rosenberg
129,Robert,Cialdini
14,Cheryl,Strayed
569,William,Krueger
537,C.,Box
628,Armin,Brott
767,Jarrod,Polson
102,Stephen,Covey
264,John,Palmer
520,Markus,Zusak
471,Editors,Nolo
702,Eloisa,James
654,John,Tamny
52,Lena,Dunham
748,Arnold,Schwarzenegger
435,Bill,Bryson
746,Dave,Canterbury
311,Stephen,Plotner
90,Mitch,Albom
351,Deborah,M.S.
464,Bunmi,Laditan
443,Steven,Weinberg
666,Sam,McBratney
755,Jordan,Metzl
16,Giuliana,Rancic
132,Robert,Kiyosaki
215,Molly,Gilbert
759,Dan,Blank
503,J.R.,Ward
309,Cesar,Millan
278,Gary,Taubes
152,Thomas,Piketty
12,Chris,Kyle
79,Jeannette,Walls
550,Clive,Cussler
694,Jan-Philipp,Sendker
339,Martin,Ph.D.
656,Curt,M.Ed.
173,Joseph,Campbell
294,Kyra,Sundance
31,Gerald,Posner
104,Rita,Mulcahy
773,James,Sieckmann
612,David,Schwartz
106,Benjamin,Graham
66,Marcus,Luttrell
101,Project,Institute
771,Jonathan,Alderfer
209,Diane,Sanfilippo
32,Dan,Harris
187,Lawrence,Wright
623,Penny,Simkin
395,Life,Publishing
595,Sean,Covey
38,Scott,Simon
434,Michael,Weiss
100,Laszlo,Bock
172,Ernie,Zelinski
751,Ian,Whitelaw
394,Eckhart,Tolle
203,Editors,Kitchen
245,Julia,Child
586,Timothy,Keller
692,Deborah,Harkness
411,Kara,Tippetts
404,Gary,Ezzo
340,Meredith,Ph.D.
793,Jim,Pojar
594,Bob,Sehlinger
392,Cassey,Ho
481,Associated,Press
376,Michel,Foucault
717,John,Hargrove
491,David,Baldacci
22,"Lebanon""",Stoltzfus
671,Jojo,Moyes
409,the,Clinic
528,Debbie,Macomber
587,Marc,M.D.
699,Robyn,Carr
672,Danielle,Steel
255,Jeff,Hertzberg
305,Cindy,Wilde
181,Sarah,Young
371,Wendell,Berry
798,Pete,Magill
489,Kristin,Hannah
770,David,Sibley
642,John,Whitehead
610,Frances,Jensen
197,JJ,Smith
604,Asia,Citro
45,Joey,Graceffa
559,Doug,Dorst
488,George,Martin
333,Wynn,Kapit
622,Chronicle,LLC
556,Ken,Follett
292,Melissa,Michaels
657,Jon,Kabat-Zinn
149,Manhattan,Prep
352,Paul,Horowitz
585,Dr.,Eggerichs
161,Patricia,Barry
784,John,Wooden
576,William,Forstchen
95,Truman,Capote
697,Jill,Shalvis
433,Lee,Strobel
618,"Hetty,",Rijt
219,Ella,Woodward
457,Will,Durant
533,T.C.,Boyle
718,Greg,Jacobs
389,Siddhartha,Mukherjee
614,Gever,Tulley
714,Jenean,Morrison
214,Bob,Warden
602,Diane,Wiessinger
720,Frederic,Delavier
562,Jeffrey,Archer
577,J.,Robb
11,Brian,Grazer
600,Betsy,Franco
429,John,Newman
332,Living,Language
59,Glennon,Melton
606,John,Pfeiffer
107,Charles,Duhigg
526,J.D.,Salinger
80,Maya,Angelou
43,Stuart,Scott
73,L.,Marquet
736,Louise,Hay
802,Veronica,Roth
229,Melissa,Joulwan
690,Alexander,Smith
273,Cheryl,Day
108,Patrick,Lencioni
121,Eric,Worre
701,Susan,Mallery
341,Law,Council
271,Diane,NC
343,Roselyn,M.S.
425,Brandon,Stanton
212,Mark,Hyman
191,Henry,Cloud
323,Jonathan,Orsay
254,Judi,Kingry
293,Christina,Rose
492,Anne,Tyler
283,April,Bloomfield
337,Umberto,Eco
263,Abel,James
764,Richard,Jones
525,Cynthia,Bond
709,Christine,Feehan
518,Donna,Leon
67,Martin,Pistorius
524,Joseph,Fink
306,International,Council
387,Izabella,PharmD
48,Kim,Gordon
267,Elaine,Gottschall
747,Meb,Keflezighi
251,Sandor,Katz
731,Beckah,Krahula
412,Rhonda,Byrne
235,Sara,Forte
497,Andy,Weir
153,Matthew,Dixon
738,Hal,Elrod
769,Steve,Pantaleo
60,Bernard,Kerik
74,Rebecca,Skloot
455,Steven,Brill
